Male m-thly,Female m-thly,SA
0.0071215,0.0041825,2300
0.00717258,0.004200067,2300
0.0075715,0.00439565,2426.5
0.007629265,0.004415057,2426.5
0.00804308,0.004619898,2559.9575
0.008108296,0.00464134,2559.9575
0.008536454,0.004855743,2700.755163
0.008609953,0.004879437,2700.755163
0.009051608,0.005104103,2849.296696
0.009134288,0.005130289,2849.296696
0.009588306,0.00536501,3006.008015
0.009681132,0.005393949,3006.008015
0.010146473,0.005639257,3171.338456
0.01025048,0.005671239,3171.338456
0.010725763,0.005927836,3345.762071
0.010842052,0.005963185,3345.762071
0.011325914,0.006230845,3529.778984
0.011455659,0.006269912,3529.778984
0.011946693,0.006549237,3723.916829
0.012091142,0.006592412,3723.916829
0.012587247,0.006883679,3928.732254
0.012747705,0.006931392,3928.732254
0.013246785,0.007234568,4144.812528
0.013424618,0.007287289,4144.812528
0.013924539,0.007602326,4372.777217
0.01412117,0.007660564,4372.777217
0.014618956,0.007988373,4613.279964
0.01483584,0.008052701,4613.279964
0.01571675,0.00860475,4867.010362
0.015967711,0.008679434,4867.010362
0.01732575,0.00951475,5134.695932
0.017631224,0.00960615,5134.695932
0.019075,0.01051925,5417.104208
0.019445931,0.010631081,5417.104208
0.02097325,0.0116275,5715.04494
0.021422551,0.011764289,5715.04494
0.02302925,0.0128495,6029.372412
0.023572098,0.013016759,6029.372412
0.02525175,0.0141965,6360.987894
0.02590592,0.014400943,6360.987894
0.02765,0.01568025,6710.842228
0.028436263,0.015930037,6710.842228
0.03023225,0.0173135,7079.938551
0.031174732,0.017618539,7079.938551
0.033007,0.01911025,7469.335171
0.034133649,0.019482567,7469.335171
0.03598225,0.021085,7880.148606
0.037325298,0.021539153,7880.148606
0.039165,0.023254,8313.556779
0.040761421,0.023807622,8313.556779
0.0425,0.025,8770.802402
0.044386423,0.025641026,8770.802402
0.045,0.0275,9253.196534
0.047120419,0.028277635,9253.196534
0.0475,0.03,9762.122343
0.049868766,0.030927835,9762.122343
0.05,0.0325,10299.03907
0.052631579,0.033591731,10299.03907
0.0525,0.035,10865.48622
0.055408971,0.03626943,10865.48622
0.055,0.0375,11463.08796
0.058201058,0.038961039,11463.08796
0.0575,0.04,12093.5578
0.061007958,0.041666667,12093.5578
0.06,0.0425,12758.70348
0.063829787,0.044386423,12758.70348
0.0625,0.045,13460.43217
0.066666667,0.047120419,13460.43217
0.065,0.0475,14200.75594
0.069518717,0.049868766,14200.75594
0.5,0.5,14981.79752
1,1,14981.79752
